id	SYMBOL	GO TERM
511145.b2799	fucO	GO:0042846
511145.b2799	fucO	GO:0051143
511145.b2091	gatD	GO:0019404
511145.b3945	gldA	GO:0019588
511145.b3945	gldA	GO:0051289
511145.b3945	gldA	GO:0051596
511145.b3455	livG	GO:0015803
511145.b3455	livG	GO:0015823
511145.b3455	livG	GO:1903714
511145.b3455	livG	GO:1903785
511145.b3455	livG	GO:0015808
511145.b3455	livG	GO:0042941
511145.b3455	livG	GO:1903805
511145.b3455	livG	GO:1903806
511145.b2913	serA	GO:0006564
511145.b2834	tas	GO:0034198
511145.b0794	ybhF	GO:1990961
511145.b0794	ybhF	GO:0006855
511145.b0794	ybhF	GO:0015904
511145.b0794	ybhF	GO:0035725
511145.b0794	ybhF	GO:0090452
511145.b1299	puuR	GO:0006351
511145.b1299	puuR	GO:0006355
511145.b1695	ydiO	GO:0033539
511145.b1695	ydiO	GO:0071271
511145.b3201	lptB	GO:0015920
511145.b3201	lptB	GO:0043165
511145.b3882	yihU	GO:0009407
511145.b3882	yihU	GO:0051289
511145.b3882	yihU	GO:0061720
511145.b3882	yihU	GO:1902777
511145.b4191	ulaR	GO:0006351
511145.b4191	ulaR	GO:0006355
511145.b4391	ettA	GO:0045900
511145.b3190	ibaG	GO:0097533
511145.b3190	ibaG	GO:0006879
511145.b3190	ibaG	GO:0016226
511145.b3190	ibaG	GO:0045454
511145.b1858	znuC	GO:0010043
511145.b1858	znuC	GO:0071578
511145.b3251	mreB	GO:0008360
511145.b3251	mreB	GO:0043093
511145.b3251	mreB	GO:0051983
511145.b3251	mreB	GO:0009252
511145.b3251	mreB	GO:0051782
511145.b3556	cspA	GO:0009409
511145.b3556	cspA	GO:0045893
511145.b3556	cspA	GO:0060567
511145.b3556	cspA	GO:0010468
511145.b1823	cspC	GO:0034605
511145.b1823	cspC	GO:0010468
511145.b1823	cspC	GO:0060567
511145.b2553	glnB	GO:0006808
511145.b2553	glnB	GO:0042304
511145.b2415	ptsH	GO:0009401
511145.b2415	ptsH	GO:0043609
511145.b2415	ptsH	GO:0045819
511145.b3231	rplM	GO:0017148
511145.b3231	rplM	GO:0002181
511145.b3405	ompR	GO:0000160
511145.b3405	ompR	GO:0045893
511145.b3405	ompR	GO:0006355
511145.b3781	trxA	GO:0045454
511145.b1930	yedF	GO:0006974
511145.b0058	rluA	GO:0000455
511145.b0058	rluA	GO:0001522
511145.b0058	rluA	GO:0006364
511145.b0058	rluA	GO:0008033
511145.b0058	rluA	GO:0009451
511145.b0058	rluA	GO:0031118
511145.b0058	rluA	GO:0031119
511145.b1086	rluC	GO:0000455
511145.b2791	truC	GO:0006399
511145.b2791	truC	GO:0008033
511145.b2791	truC	GO:0009451
511145.b2791	truC	GO:0031119
511145.b2791	truC	GO:0000455
511145.b2183	rsuA	GO:0000455
511145.b2014	plaP	GO:0015847
511145.b2014	plaP	GO:0048870
511145.b1841	yobA	GO:0055070
511145.b3009	yghB	GO:0009410
511145.b3009	yghB	GO:0043093
511145.b3009	yghB	GO:0055085
511145.b3095	yqjA	GO:0009410
511145.b3095	yqjA	GO:0043093
511145.b3095	yqjA	GO:0055085
511145.b0813	rhtA	GO:0015826
511145.b0813	rhtA	GO:0042968
511145.b1959	yedA	GO:0009636
511145.b3691	dgoT	GO:0034194
511145.b3691	dgoT	GO:0042875
511145.b3093	exuT	GO:0015736
511145.b3127	garP	GO:0019580
511145.b3127	garP	GO:0042836
511145.b0336	codB	GO:0015856
511145.b0789	clsB	GO:0032049
511145.b2195	dsbE	GO:0017004
511145.b1490	dosC	GO:0006950
511145.b1490	dosC	GO:0043709
511145.b1490	dosC	GO:0070482
511145.b1490	dosC	GO:1902201
511145.b2380	ypdA	GO:0007165
511145.b2380	ypdA	GO:0031670
511145.b0224	yafK	GO:0000270
511145.b0287	yagU	GO:0010447
511145.b3792	wzxE	GO:0009246
511145.b4002	zraP	GO:0036460
511145.b2061	wzb	GO:0009242
511145.b3843	ubiD	GO:0006744
511145.b3843	ubiD	GO:0034214
511145.b3923	uspD	GO:0000303
511145.b3923	uspD	GO:0009411
511145.b3923	uspD	GO:0042594
511145.b3923	uspD	GO:0006950
511145.b1333	uspE	GO:0006950
511145.b1333	uspE	GO:0034644
511145.b1333	uspE	GO:0044010
511145.b1333	uspE	GO:0070301
511145.b1333	uspE	GO:0071973
511145.b0786	ybhL	GO:0030162
511145.b0970	yccA	GO:0030162
511145.b2528	iscA	GO:0016226
511145.b3161	mtr	GO:0003333
511145.b3161	mtr	GO:0015827
511145.b1907	tyrP	GO:0003333
511145.b2796	sdaC	GO:0015825
511145.b2796	sdaC	GO:0006865
511145.b3116	tdcC	GO:0006865
511145.b3116	tdcC	GO:0015825
511145.b3116	tdcC	GO:0015826
511145.b4208	cycA	GO:0001762
511145.b4208	cycA	GO:0015808
511145.b4208	cycA	GO:0015816
511145.b4208	cycA	GO:0042941
511145.b4208	cycA	GO:0042942
511145.b0402	proY	GO:0003333
511145.b4132	cadB	GO:0015839
511145.b4132	cadB	GO:1903401
511145.b4132	cadB	GO:1990451
511145.b0692	potE	GO:0015847
511145.b1900	araG	GO:0042882
511145.b0864	artP	GO:0097638
511145.b3541	dppD	GO:0035351
511145.b3541	dppD	GO:0035442
511145.b3541	dppD	GO:0042938
511145.b0652	gltL	GO:0098712
511145.b0652	gltL	GO:0140009
511145.b0449	mdlB	GO:0046618
511145.b0449	mdlB	GO:0055085
511145.b2149	mglA	GO:0006974
511145.b2149	mglA	GO:0015757
511145.b2149	mglA	GO:0015765
511145.b3725	pstB	GO:0006817
511145.b3725	pstB	GO:0035435
511145.b1291	sapD	GO:0015847
511145.b1291	sapD	GO:0071805
511145.b1291	sapD	GO:0015833
511145.b1290	sapF	GO:0015847
511145.b1290	sapF	GO:0015833
511145.b0933	ssuB	GO:0006790
511145.b0933	ssuB	GO:0042918
511145.b0933	ssuB	GO:0010438
511145.b3178	ftsH	GO:0006508
511145.b3178	ftsH	GO:0030163
511145.b1095	fabF	GO:0009409
511145.b1095	fabF	GO:0019367
511145.b1095	fabF	GO:1903966
511145.b1095	fabF	GO:0006633
511145.b1092	fabD	GO:0006633
511145.b1589	ynfG	GO:0009061
511145.b1475	fdnH	GO:0009061
511145.b1475	fdnH	GO:0015944
511145.b1475	fdnH	GO:0006788
511145.b1475	fdnH	GO:0019645
511145.b3893	fdoH	GO:0009061
511145.b3893	fdoH	GO:0015944
511145.b3893	fdoH	GO:0022904
511145.b3893	fdoH	GO:0045333
511145.b3893	fdoH	GO:0006788
511145.b3893	fdoH	GO:0019645
511145.b2996	hybA	GO:0009061
511145.b2996	hybA	GO:0019588
511145.b2724	hycB	GO:0006007
511145.b2724	hycB	GO:0009061
511145.b2724	hycB	GO:0015944
511145.b2724	hycB	GO:0019645
511145.b4072	nrfC	GO:0019645
511145.b2208	napF	GO:0006979
511145.b0974	hyaC	GO:0006113
511145.b0974	hyaC	GO:0009061
511145.b0974	hyaC	GO:0019645
511145.b0974	hyaC	GO:1902421
511145.b0974	hyaC	GO:0009267
511145.b2728	hypC	GO:0051604
511145.b2728	hypC	GO:0065003
511145.b2990	hybG	GO:0051604
511145.b2990	hybG	GO:0065003
511145.b2992	hybE	GO:0051604
511145.b2727	hypB	GO:0051604
511145.b2727	hypB	GO:0065003
511145.b0382	iraP	GO:0016036
511145.b0382	iraP	GO:0042177
511145.b0357	frmR	GO:0045892
511145.b0461	tomB	GO:0044010
511145.b0481	ybaK	GO:0010165
511145.b0481	ybaK	GO:0106074
511145.b0442	ybaV	GO:0015628
511145.b0528	ybcJ	GO:0006412
511145.b0577	ybdG	GO:0006970
511145.b0577	ybdG	GO:0071470
511145.b0637	rsfS	GO:0017148
511145.b0637	rsfS	GO:0090071
511145.b0699	ybfA	GO:0009314
