511145.b4106	phnC
511145.b4240	treB
511145.b1138	ymfE
511145.b4509	ylcG
511145.b2957	ansB
511145.b0817	mntR
511145.b2329	aroC
511145.b3521	yhjC
511145.b3905	rhaS
511145.b3295	rpoA
511145.b0924	mukB
511145.b0429	cyoD
511145.b1185	dsbB
511145.b3126	garL
511145.b0187	yaeR
511145.b0120	speD
511145.b0389	yaiA
511145.b1673	ydhV
511145.b2426	ucpA
511145.b3026	qseC
511145.b0485	glsA
511145.b1914	uvrY
511145.b3554	yiaF
511145.b2770	ygcR
511145.b3662	nepI
511145.b0076	leuO
511145.b2167	fruA
511145.b2215	ompC
511145.b3050	yqiJ
511145.b2575	trmN
511145.b0534	sfmF
511145.b4109	crfC
511145.b3384	trpS
511145.b1128	roxA
511145.b4119	melA
511145.b3620	waaF
511145.b3476	nikA
511145.b2788	gudX
511145.b3205	yhbJ
511145.b0843	ybjH
511145.b1518	lsrG
511145.b0503	mnmH
511145.b1176	minC
511145.b1738	chbB
511145.b1179	ycgL
511145.b0960	yccS
511145.b1546	tfaQ
511145.b3649	rpoZ
511145.b1645	ydhK
511145.b1042	csgA
511145.b3189	murA
511145.b2559	tadA
511145.b0602	ybdN
511145.b3148	yraN
511145.b3151	yraQ
511145.b3017	ftsP
511145.b2200	ccmB
511145.b4135	yjdC
511145.b1945	fliM
511145.b3603	lldP
511145.b0248	yafX
511145.b1529	marC
511145.b1827	kdgR
511145.b4003	zraS
511145.b0551	quuD
511145.b0440	hupB
511145.b3670	ilvN
511145.b2154	yeiG
511145.b4548	ypjJ
511145.b3228	sspB
511145.b1956	yedQ
511145.b4594	ymgJ
511145.b4465	yggP
511145.b2462	eutS
511145.b3800	aslB
511145.b0112	aroP
511145.b4284	insI1-3
511145.b1829	htpX
511145.b1810	yoaC
511145.b1393	paaF
511145.b4072	nrfC
511145.b0545	ybcL
511145.b1707	ydiV
511145.b2626	yfjJ
511145.b4606	ypfM
511145.b4198	ulaF
511145.b1712	ihfA
511145.b1598	ydgD
511145.b2315	folC
511145.b2746	ispF
511145.b0802	ybiJ
511145.b3029	ygiN
511145.b4366	bglJ
511145.b3751	rbsB
511145.b3191	mlaB
511145.b3247	rng
511145.b3824	rhtB
511145.b3302	rpmD
511145.b4706	iroK
511145.b3480	nikE
511145.b1043	csgC
511145.b3408	feoA
511145.b3226	nanR
511145.b1094	acpP
511145.b3696	yidX
511145.b1175	minD
511145.b3596	yibG
